ds,y
12/10/2007,9.590761139
1/10/2008,8.519590316
2/10/2008,8.183676583
3/10/2008,8.072467369
4/10/2008,7.893572074
5/10/2008,7.783640596
6/10/2008,8.414052432
7/10/2008,8.829226355
8/10/2008,8.382518288
9/10/2008,8.069655307
10/10/2008,7.879291485
11/10/2008,7.761744985
12/10/2008,7.529406458
1/10/2009,8.38526052
2/10/2009,8.620110725
3/10/2009,7.852439085
4/10/2009,7.853993087
5/10/2009,8.051978079
6/10/2009,7.926602599
7/10/2009,7.838343316
8/10/2009,9.703144581
9/10/2009,9.385972941
10/10/2009,8.293799609
11/10/2009,8.43468077
