ds,y
10/18/2017,9.590761139
11/3/2017,8.519590316
12/5/2017,8.183676583
1/6/2018,8.072467369
2/7/2018,7.893572074
3/27/2018,7.783640596
4/28/2018,8.414052432
5/30/2018,8.829226355
6/15/2018,8.382518288
7/1/2018,8.069655307
8/18/2018,7.879291485
9/3/2018,7.761744985
10/5/2018,7.529406458
11/22/2018,8.38526052
12/8/2018,8.620110725
1/9/2019,7.852439085
2/26/2019,7.853993087
3/30/2019,8.051978079
4/15/2019,7.926602599
5/17/2019,7.838343316
6/18/2019,9.703144581
7/20/2019,9.385972941
8/5/2019,8.293799609
9/22/2019,8.43468077
